JobId,Category,Location,Position,Links
4040,Financial Research,HYD,Senior Analyst/Lead Analyst Fundamental Equities - (Healthcare),https://www.deshawindia.com/careers/senior-analyst-lead-analyst-fundamental-equities-healthcare-hyderabad-4040
3618,Front Office Tech,HYD,Associate/Test Engineer (Payroll/Investor Relations),https://www.deshawindia.com/careers/associate-test-engineer-payroll-investor-relations-hyderabad-3618
3958,Front Office Tech,HYD,Front Office Tech/ Program Manager (ABS Tech),https://www.deshawindia.com/careers/front-office-tech-program-manager-abs-tech-hyderabad-3958
3768,Front Office Tech,HYD,Front Office Tech/Senior Technical Writer/Technical Writer,https://www.deshawindia.com/careers/front-office-tech-senior-technical-writer-technical-writer-hyderabad-3768
3849,Front Office Tech,HYD,Front Office Tech/Senior Technology Associate/Technology Associate (Equities/D.E.Shaw Investment Management),https://www.deshawindia.com/careers/front-office-tech-senior-technology-associate-technology-associate-equities-d-e-shaw-investment-management-hyderabad-3849
4113,Front Office Tech,HYD,Front Office Tech/Tech Associate (Options),https://www.deshawindia.com/careers/front-office-tech-tech-associate-options-hyderabad-4113
4027,Front Office Tech,HYD,Front Office Tech/Tech Associate/ Senior Tech Associate (Risk),https://www.deshawindia.com/careers/front-office-tech-tech-associate-senior-tech-associate-risk-hyderabad-4027
3901,Front Office Tech,HYD,Front Office Tech/Tech Associate/Technology Associate (Discretionary Tech),https://www.deshawindia.com/careers/front-office-tech-tech-associate-technology-associate-discretionary-tech-hyderabad-3901
4021,Front Office Tech,HYD,IT: FO - Technology Associate - Data Infrastructure Team,https://www.deshawindia.com/careers/it-fo-technology-associate-data-infrastructure-team-hyderabad-4021
3968,Front Office Tech,HYD,Lead/Senior Interaction Designer,https://www.deshawindia.com/careers/lead-senior-interaction-designer-hyderabad-3968
4005,Front Office Tech,HYD,Senior Member Technical (Risk & STANCE),https://www.deshawindia.com/careers/senior-member-technical-risk-stance-hyderabad-4005
4060,Front Office Tech,HYD,Tech/ Front Office Tech/Tech Associate/Senior Tech Associate (R&D Tech),https://www.deshawindia.com/careers/tech-front-office-tech-tech-associate-senior-tech-associate-r-d-tech-hyderabad-4060
2785,Front Office Tech,HYD,All positions in Software Development,https://www.deshawindia.com/careers/all-positions-in-software-development-hyderabad-2785
3991,Human Capital,HYD,Associate/Global Recruitment Operations,https://www.deshawindia.com/careers/associate-global-recruitment-operations-hyderabad-3991
4100,Human Capital,HYD,Associate/Specialist - Talent Management,https://www.deshawindia.com/careers/associate-specialist-talent-management-hyderabad-4100
4117,Human Capital,HYD,Lead - HC/BP and TD,https://www.deshawindia.com/careers/lead-hc-bp-and-td-hyderabad-4117
3845,Human Capital,HYD,Manager - External Communications,https://www.deshawindia.com/careers/manager-external-communications-hyderabad-3845
3713,Human Capital,HYD,Manager - Internal Communications,https://www.deshawindia.com/careers/manager-internal-communications-hyderabad-3713
4064,Human Capital,HYD,Manager -Talent Acquisition-Tech Hiring,https://www.deshawindia.com/careers/manager-talent-acquisition-tech-hiring-hyderabad-4064
4039,Human Capital,HYD,Manager/Global Recruitment Operations,https://www.deshawindia.com/careers/manager-global-recruitment-operations-hyderabad-4039
3759,Human Capital,HYD,Senior Specialist - Talent Acquisition (Tech. Hiring),https://www.deshawindia.com/careers/senior-specialist-talent-acquisition-tech-hiring-hyderabad-3759
4121,Human Capital,HYD,Senior Specialist - Technical Campus Hiring,https://www.deshawindia.com/careers/senior-specialist-technical-campus-hiring-hyderabad-4121
3728,Human Capital,HYD,Senior Specialist/Manager/Human Resource Analytics Expert,https://www.deshawindia.com/careers/senior-specialist-manager-human-resource-analytics-expert-hyderabad-3728
3847,Human Capital,HYD,Specialist / Sr. Specialist - Internal Communications,https://www.deshawindia.com/careers/specialist-sr-specialist-internal-communications-hyderabad-3847
3846,Human Capital,HYD,Specialist/Associate - Global Analytics and Reporting,https://www.deshawindia.com/careers/specialist-associate-global-analytics-and-reporting-hyderabad-3846
4036,Human Capital,HYD,Specialist/Senior Specialist/International Human Resources Operations and Projects,https://www.deshawindia.com/careers/specialist-senior-specialist-international-human-resources-operations-and-projects-hyderabad-4036
3789,Human Capital,HYD,Specialist/Senior Specialist/Non-Technology Hiring (India Recruitment),https://www.deshawindia.com/careers/specialist-senior-specialist-non-technology-hiring-india-recruitment-hyderabad-3789
2583,Human Capital,HYD,All positions in Human Capital,https://www.deshawindia.com/careers/all-positions-in-human-capital-hyderabad-2583
3755,Legal,HYD,Manager/Compliance,https://www.deshawindia.com/careers/manager-compliance-hyderabad-3755
4034,Management Company Accounting,HYD,Associate - Accounts Payable,https://www.deshawindia.com/careers/associate-accounts-payable-hyderabad-4034
4046,Management Company Accounting,HYD,Manager - Management Reporting,https://www.deshawindia.com/careers/manager-management-reporting-hyderabad-4046
3843,Office of the OC (Operating Committee),HYD,Manager/Office of the Operating Committee (OC),https://www.deshawindia.com/careers/manager-office-of-the-operating-committee-oc-hyderabad-3843
3605,Quality and Test Engineering,HYD,Member/Test Engineer (All positions),https://www.deshawindia.com/careers/member-test-engineer-all-positions-hyderabad-3605
3836,Quality and Test Engineering,HYD,Quality and Test Engineering/Senior Member/Test Engineer (Trading Systems),https://www.deshawindia.com/careers/quality-and-test-engineering-senior-member-test-engineer-trading-systems-hyderabad-3836
3533,Quality and Test Engineering,HYD,Senior Member/Test Engineer,https://www.deshawindia.com/careers/senior-member-test-engineer-hyderabad-3533
3710,Systems,HYD,Systems/Member/Software Developer (Web Engineering),https://www.deshawindia.com/careers/systems-member-software-developer-web-engineering-hyderabad-3710
3611,Systems,HYD,Systems/Project Lead/Network Engineer,https://www.deshawindia.com/careers/systems-project-lead-network-engineer-hyderabad-3611
3840,Systems,HYD,Systems/Project Lead/Site Reliability Engineer (Unix/Linux),https://www.deshawindia.com/careers/systems-project-lead-site-reliability-engineer-unix-linux-hyderabad-3840
3784,Systems,HYD,Systems/Project Lead/Site Reliability Engineer (Windows),https://www.deshawindia.com/careers/systems-project-lead-site-reliability-engineer-windows-hyderabad-3784
4127,Systems,HYD,Systems/Project Lead/Unified Communications Engineer,https://www.deshawindia.com/careers/systems-project-lead-unified-communications-engineer-hyderabad-4127
3795,Systems,HYD,Tech/Systems/Member/Systems Engineer (Off Campus 2021 Grads),https://www.deshawindia.com/careers/tech-systems-member-systems-engineer-off-campus-2021-grads-hyderabad-3795
2786,Systems,HYD,All positions in Systems Infrastructure Engineering,https://www.deshawindia.com/careers/all-positions-in-systems-infrastructure-engineering-hyderabad-2786
